,description,sentiment,predicted
19,"Working on what you are trying to achieve is not easy. It takes hard work, dedication, and oftentimes the willpower to get back up if you fall. No matter what is thrown at you, keep pushing yourself towards that next step. 

#socialimpact #nonprofits  #nonprofitorganizations  #leadershipdevelopment #communityorganization #empoweringothers #leadershipprogram #serveothers #thursdaythoughts #motivationalquote #keepmovingforward",positive,neutral
21,"President Joe Biden, standing with Polish Prime Minister Mateusz Morawiecki, holds a child during his visit with Ukrainian refugees at the PGE National Stadium in Warsaw, Poland, @reuters 

#Ukraine #Russia #UkraineUnderAttack #UkraineRussia #president #vp #joebiden #StandWithUkriane #kamalaharris #nancypelosi #chuckschumer #filibuster #votevets #DNC  #poland #refugees #Mateusz #Morawiecki #MateuszMorawiecki",neutral,negative
22,"Thanks @wattiecheung from coming along to @rungarscube training night to take amazing snaps for Daily Mail grassroots sports special <U+0001F499>

Posted @withregram • @wattiecheung Running at grassroots level started back recently with the young runners the Garscube Harriers @rungarscube back training on the Glasgow streets . The young boys and girls were unable to do any training because of the lockdown rules due to the pandemic but are now back in full flow ......
#garscubeharriers #running #runners #athletics #roadrunning #training #grassroots #covid_19 #lockdown #pandemic #glasgow #scotland #freelancephotography #pressphotographer  #newsphotographer #editorialphotographer #editorialphotography #nikon #d6 Pictures© Wattie Cheung",positive,neutral
24,"Mr. X Stock Market Academy celebrates Black History Month this February. This is 
a time to recognize the accomplishments of the Black Community Worldwide. 

One of our company’s mission is to educate beginner stock market investors and individuals currently investing in the stock market to grow their money faster. 

We also want to invite you to our How To Build Wealth In The Stock Market [Free Condensed Webinar] on Friday February 4, 2022 at 8:30pm eastern standard time. 

What Attendees Will Learn: 

During This Free Stock Market Webinar Attendees Will Learn:

<U+2705> Steps to Build Wealth in the Stock Market By Buying Individual Stocks in a Volatile Stock Market

<U+2705> Opening A Brokerage Account

<U+2705> How To Maximize Your Existing Brokerage Account In A Volatile Stock Market If You Are Already Investing In The Stock Market 

<U+2705>  Developing Your Stock Market Investment Goals in a Volatile Stock Market 

<U+2705>  Benefits of Investing in the Stock Market Long-Term in a Volatile Stock Market 

<U+2705>  And much more

<U+2705>  You Need A Free Zoom Account To Access The Webinar.

<U+2705> This is a Live Webinar That You Do Not Want To Miss. 

<U+2705>  Registration ends at 8:30pm eastern standard time Friday February 4, 2022. 

<U+2705> You will receive a email notification with instructions on how to access the webinar once you register. Check your inbox, junk box or spam box for this email notification. 

<U+2705> Go to the website address below to register for the free stock market webinar or click on link in bio. 

https://mrxstockmarketacademy.com/webinar-registrations/ 

<U+2705> We look forward to your attendance.
.
.
.
.
.
.
#blackhistory 
#blackhistorymonth 
#blackhistoryeveryday 
#blacksuccess 
#stocks
#stockmarket
#stockmarketinvesting 
#stockmarketeducation 
#stockmarkettips 
#stockmarkettraining 
#stockmarketforbeginners 
#millionairemindset 
#passiveincome 
#invest 
#investments 
#investors 
#investing 
#investingtips 
#investinginthestockmarket
#wealth 
#collegestudent
#blackcollegestudent
#communityorganizations
#wealthbuilding 
#wallstreet
#stockmarketeducator 
#smallbusinesssupport 
#blackbusiness 
#blackbusinessowner 
#mrxstockmarketacademy",positive,neutral
28,"Today was demolition & planning day for the Greenwood Community Garden project @ the Historic Vernon AME Chapel. Reverend Turner greeted us with a smile & gave a few swings as we demolished an aging structure to make room for new raised beds. 

Thank you to everyone who came out this week! We'll be meeting every Friday for the rest of April (Shift A: 10am-12pm, shift B: 5pm-7pm). DM us for more info!

#CommunityGarden #MutualAid #Communalism",positive,neutral
30,#mutualaid,neutral,positive
31,"Carrabba’s Cares Night’s are back!!! We have been given the green light to start up fundraisers again!! 
DM the restaurant or apply @ www.Carrabba’s.com
.
.
.
Who should apply?!
#schools 
#charityorganizations 
#youthteams 
#churches 
#communityorganizations",positive,negative
33,"The @sandiegoreader recently published an article featuring PSL member Juliana Musheyev discussing recent events in Russia, anti imperialism and revolutionary optimism:

“I ask Juliana what she says to people who think she is devoted to nice ideas that will never happen. She tells me that this “is something we call cynicism. Cynicism is one of the biggest obstacles to growing our movement. There are a lot of people who agree with our platform, but they’re cynical and they don’t think it can happen. It’s people like us in the PSL who have what we call ‘revolutionary optimism.’”

Read the full article by David Kohanyi at the San Diego Reader website: sandiegoreader.com

#sandiego #sandiegonews #sdreader #russia #ukraine #antiimperialism #russian #revolutionary #communityorganization",positive,negative
35,"Just put 300.00 of my own $ on this card, under my name, for lleohn! Finally figured it out, thanks @kecia_soldieroflove 
...
You can email leohnetwork@gmail.com and, be our first monthly supporter!
Money goes to where you would like it directed.

*Organizing Actions:
Like April 1 Day of Action.

*Internal Capacity:
 4 peer meetings locally, nationally and internationally.

*Direct Outreach:
needs vary like tarps, clothing, we post needs.
Nutritionally Usually Fluids, healthy snacks like organic oranges/grapefruits 
...
#strongcommunitiesmakepoliceobsolete #mutualaid #communitycare #network #networking #thepowerofnetworking @garthmullins @capud_ @janineannt @daisyandswan @wpgpoliceharm @solidaritywinnipeg @vtag.bc @professional_recreationalist @sharmarke.dubow @avnitongzhi @make_theshift @cops_out_of_schools ...
...",positive,negative
36,"<U+0001FAD6><U+2615><U+FE0F> Tuesday Tea <U+2615><U+FE0F><U+0001FAD6>
-
Last Thursday, countries around the world celebrated <U+2618><U+FE0F> St. Patrick’s Day <U+2618><U+FE0F> Earlier this month, a local organization of Irish LGBTQ+ New Yorkers celebrated a victory towards inclusion. The Lavender & Green Alliance, (Irish: Muintir Aerach na hÉireann) marched in the Bronx’s St. Patrick’s Day Parade for the first time this year, after a rescinded offer to join in 1999 and 20 years of exclusion after that. The Alliance is still working towards inclusion in the Staten Island St. Patrick’s Day parade, which has barred all LGBTQ+ groups from participating.
-
Visit the <U+0001F517>Linktree<U+0001F332> in our bio to learn more.
-
#lgbtqpride #stpatricksday2022 #irishlgbt #communityorganization #lavenderandgreen #lgbtqpride",positive,negative
37,"That sounds scary doesn't it. lol 

Making your idea a reality can be intimating for sure. 

That's something I used to think about when coming up with CNC. How would I convey my love of service and nonprofit development to other people? 

And it's been hard. But the one thing I continuously focus on is my mission and vision to keep me up on what I am doing with my content. 

Being someone who either wants to start a nonprofit where you currently have one focusing on your mission statement and vision is extremely important. Those two items hold the backing of what you do to serve your community. 

Your mission and vision statements are management tools to help your nonprofits better understand how you need to function and serve the communities with the resources.

When you get a chance, look at your mission and vision statement. Are you still abiding by it, or do you need to pivot?
.
.
.
#blogger #houston #nonprofit #houstonblogger #nonprofitblogger #curlygirl #givingback #socialimpact #nonprofitorganizations #nonprofitsofinstagram #volunteering #4charity #communitysupport #socialenterprise #marketing #volunteer #education #charity #philanthropy #causes #fundraiser #giving #advocacy #npic #nonprofitindustrialcomplex #blacknonprofits  #marketing  #BIPOC #communityorganizations #hiakyuu #hinata",neutral,positive
38,"<U+0418><U+0437> <U+0446><U+0438><U+043A><U+043B><U+0430> ""<U+0411><U+044B><U+043B><U+043E> - <U+0441><U+0442><U+0430><U+043B><U+043E>""
#zpro 
#extreme #Filibusterforever #max034 #toyotafjcruiser #lensowheels #Biker #besttoyota #bfgoodrich #baja1000 #tuningoffroad #tuning4x4 #totalchaos #longtravel #kingshocks #prerunner #parisdakar #4wheels #riders34vlg #auroraled #Filibuster #<U+0441><U+0438><U+043D><U+0438><U+0439><U+043F><U+0435><U+0440><U+043B><U+0430><U+043C><U+0443><U+0442><U+0440> #<U+0441><U+0431><U+043E><U+0440><U+043A><U+0430><U+043F><U+0438><U+0440><U+0430><U+0442><U+0430> #<U+0444><U+043B><U+0438><U+0431><U+0443><U+0441><U+0442><U+044C><U+0435><U+0440>",neutral,negative
41,"Friendly reminder that you gotta label any homemade food! We absolutely love seeing home cooked food in the fridges but if they're not properly labeled we unfortunately have to throw the food out. Without labels we have no clue when the food was made, when it should be eaten by or if it's friendly for people with allergies or food restrictions. It can become a health risk for our neighbors and we definitely wouldnt want that <U+0001F614> One of our goals for the fridge is to reduce food waste so having to toss items like this takes away from that goal as well.

To make sure your food is properly labeled please make sure it has: the date it was made, when it should be eaten by and all the ingredients in the dish. If the food has special cooking instructions that's helpful to add as well <U+0001F49A> If you ever have a question about labeling, feel free to ask us! Thanks y'all <U+0001F60A> swipe to see examples of labeled food and some unlabeled food we unfortunately had to toss.

#mutualaid #communitylove #communityfridge #germantownfridge #germantownphilly #philly #endfoodwaste #whyilovephilly #philadelphia",negative,neutral
42,April will be a busy one: another seminar launching in a few days! Check out the link in bio for more info and to join in <U+270A><U+0001F3FE><U+0001F913><U+270A><U+0001F3FE><U+0001F913>#publicscholarship #bisr #socialmovements #powertothepeople #peoplehavethepower,neutral,positive
43,Great event coming your way!! Thank you to the amazing team in Youthreach Carrickmacross for organizing this fabulous event to help raise much needed funds for SVP Carrickmacross.  Please support and why not drop down to this toy sale and find some bargains just in time for Christmas! All toys donated will be cleaned & wrapped by the gang in Youthreach Carrickmacross. Swipe to see one of the amazing prizes to be won in their raffle on the day <U+0001F449><U+0001F449><U+0001F449> #youthreach #svp #communityorganizations #workingtogether #helpingothers #helpingthecommunity #gettinginvolved #donate #toys #nobrokentoysplease #vincents #carrickmacross #monaghan,positive,neutral
45,"Thanks to Mark Holliday at @mch.furniturerestoration for sharing his reasons why Community Forklift is “Forking Amazing”!

""Community Forklift is my greatest ally in my mission to rescue and restore vintage furniture, helping keep them out of landfills and passing them forward to another generation. While I bring the woodworking skills and the will, Community Forklift supplies the raw materials and the communal sustainability ‘glue’ that enables my one-person furniture rescue and restoration mission to thrive. Community Forklift not only shares my belief in preserving and restoring furniture for another generation, it supports and believes in me as a small reuse, green-based business. Their diversion of furniture from landfills for reuse and restoration is a triple win — for me, the environment, and those who benefit from their neighborhood programs.""

Visit our reuse warehouse to add your name to our “Forking Amazing” wall or pick up a “Forking Amazing” t-shirt and sticker!
.
.
.
.
.
#CFForkingAmazing #furniturerestoration #furniturerestorations #vintagefurnitureshop #vintagefurnitureforsale #antiquefurniture #antiquefurniturerestoration #antiquefurniturelove #salvagedfurniture #oldfurniture #salvagewarehouse #salvageyard #architecturalsalvage #salvagedcommunity #homeessentials #communityorganization #communitybuilding #greenbusiness #smallbusinessDC #supportsmallbusinessowners #supportgreenbusiness #greenbusiness #nonprofitorg #CommunityForklift #DMVarea #PrinceGeorgesCounty",positive,neutral
46,"Outlaws who aren’t really outlaws.

#Labor #leftisbest #radicalpolitics #directaction #solidarity #mutualaid #anticapitalist #organizing #antifascist #antiracist #socialism #revolutionary #anarchism #democracy #politics #republicans #democrats #trumpsnowflakes",neutral,negative
48,"You know what today is! Pay it forward today! 
•••••••••••••••
 #nonprofits #atlnonprofits #atlantanonprofits #nonprofitorganizations #blacknonprofit #communityorganizations #blacknonprofits  #nonprofitsofinstagram #nonprofitsrock #nonprofitfundraising",positive,negative
49,"Our College STEPS and Persistence program is an important support structure guiding high school seniors and students from the community to succeed in their post-secondary plans. Our Persistence Counselors, along with their College Coaches (who are also current college students) continue to provide assistance to students once they’re in college and up to graduation from higher education. We help with everything from annual financial aid applications and enrolling in classes to transferring colleges and career or major exploration. We need you to be part of the village that contributes to young people continuing to receive individualized counseling, holistic resources, and the tools to achieve their dreams. 

Support this program and more on April 12th for Cypress Gives, by getting 12 of your friends to donate $12 to our organization! Go to our link in our bio and select “Cypress Gives 2022” to donate!
#chldc #educationmatters #cypresshillsbrooklyn #eastnewyork #communityorganization",positive,negative
51,".
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#streetphotography #street #bnw #streetphotographer #fotografiaurbana #ig #photography #fotografia #fotograf #buenosaires #protesta #argentina #mexico #photo #a #streetphotographie #urbanphotography #streetphoto #fotocallejera #buenosairescity #macrismo #neoliberalismo #fotografiadecalle #protest #mm #fotografiaartistica #inflacion #photooftheday #walkingthedog",neutral,positive
52,"Happy World Storytelling Day! Here's a sneak peak of our storybook “Not ‘Why’ But ‘Why Not’”!
—
#WomensRights #WomensEmpowerment #GenderEquality #Feminism #Feminist #SocialImpact #Activism #Change #Impact #Youth #YouthLed #YouthActivism #YouthLeadership #YouthOpportunities #Volunteer #Volunteering #StudentLeader #LondonOntario #LondonOnt #LdnOnt #519London #ThamesValley #TVDSB #OntarioHighSchool  #ChampionsOfChangeCanada #GrassrootsOrganization #CommunityOrganization #LeadersToday",positive,neutral
54,"Hahahaha who else loves this truck? 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.#maga #bidenforjail2020 #bidencorruption #amway #usa #usaelections2020 #usa<U+0001F1FA><U+0001F1F8> #american #2020 #2021 #trump #trump2020 #UK #india #live #biden #bidenforjail2020 #protest #blm #antifeminism #antifa #antiblm #blmterrorists #government #usnavy #us #federal #liberallogic #capitalism #antiliberal #anticomunist",positive,negative
56,"<U+0001F49C> Featured Woman Of The Week: Laverne Cox 
—
#WomensRights #WomensEmpowerment #GenderEquality #Feminism #Feminist #SocialImpact #Activism #Change #Impact #Youth #YouthLed #YouthActivism #YouthLeadership #ChampionsOfChangeCanada #SuccessfulWomen #YouthLeaders #YouthOpportunities #CivilRights#GrassrootsOrganization #CommunityOrganization #Community#Volunteer #Volunteering #StudentLeader #Quotes #WeeklyWoman #LaverneCox",neutral,negative
59,"#Artículo
Oscar Soto, realiza un análisis sobre la experiencia política del Movimiento Nacional Campesino Indígena- Somos Tierra, con la intención de caracterizar las modalidades de resistencias surgidas en los espacios rurales latinoamericanos, particularmente en Argentina. 
<U+0001F447>
https://doi.org/10.46652/resistances.v1i2.29 
Resistances. Journal of the Philosophy of History

Rural social movements in neoliberal times: antagonisms and political subjectivities in resistance #SocialMovements #praxis #resistances 
#SomosTierra #MovimientosSociales #Praxis #Resistencias",neutral,positive
62,"Community Sport Matters! <U+0001F60D>

Good luck to all our local community sports clubs and teams. We wish you the best of luck for the 2021 winter season.
.
.
.
.
#supportingourcommunity @[100058734406828:2048:Bunyip Bulls Basketball Club] #countryliving #sportingcommunity #communitybankbunyipanddistrict #healthyliving #cardiniashire #bawbawshire #smalltownliving #wintersports #localclubs #grassroots",positive,neutral
64,Next blunts for you big dawg <U+0001F62D>#birdiesandblunts #golf #cannabis #goinggreen #endthestigma #ptsdawareness #tbirecovery #naturalmedicine #therapeutic #gethighgolow #passthelove #veteranowned #grassroots #pgatour #lpgatour #kornferrytour #symetratour #birdiesandbluntstour #smokeshow #dmxforever,positive,neutral
65,"""We can no longer tolerate a rigged system that allows FedEx to pay nothing in federal income taxes for 3 straight years after making billions in profits while forcing the Postal Service to pre-fund retiree benefits 75 years into the future for workers who haven't even been born.""-@berniesanders

#BernieSanders #WealthTax #TaxTheRich #MedicareForAll #FightFor15 #RaiseTheWage #OrganizeToWin #NotMeUs #OurRevolution #GoodJobsForAll #Justice #Healthcare #GunControl #GunReformNow #GunControlNow #GunReform #BackgroundChecks #BackgroundChecksNow #HR8 #Politics #uspolitics #Progressive #Filibuster #AbolishFilibusterNow #AbolishFilibuster #EndFilibuster #EnoughIsEnough #Senate #10votes",negative,neutral
66,#politics #voting #government #issues #filibuster,neutral,negative
67,"Over the next several months, Resilient Georgia will be highlighting the efforts of several innovative Community Organizations working to prevent ACEs and increase trauma-informed awareness. This week, we hope you take a moment to read about the impressive work that Star-C is doing! Star-C is a 501(c)(3) non-profit with a mission to reduce transiency in local schools and improve students’ academic success by providing wraparound services to families living in affordable apartments. Click the link in our bio to read more about Star-C!

#star-c #ResilientGeorgia #Innovative #communityorganizations #community #ACEs #traumainformed",positive,negative
69,"Today, President Biden released a budget outlining his vision to expand on the progress we’ve made in a fiscally responsible way — cutting deficits, improving our country’s long-term fiscal outlook, and growing our economy from the bottom up and middle out.

The President's budget includes investments to keep our communities safe here at home and abroad as well as funding that is focused on helping us Build a Better America by expanding opportunity and lowering costs for working families.

The investments laid out in President Biden's budget are more than fully paid for through tax reforms that ensure corporations and the wealthiest Americans pay their fair share. @whitehouse 

#president #vp #joebiden #kamalaharris #nancypelosi #chuckschumer #filibuster #democracynow #democrats #thedailyshow #aclu #votevets #veteran #votebluetosaveamerica #independentsforamerica #staceyabrams #lincolnproject #dnc #militaryblaze #strong_military #budget #Americans",positive,negative
70,"Glenloch Legal will provide you with the advice you need to protect your family and your business, and assist you in creating a legacy to pass to the next generation. Whether you have a young family and need a basic estate plan or have a mature business with numerous assets requiring an advanced estate plan with business succession planning, we can help you navigate with confidence, in the most efficient and cost-effective way possible.

Schedule your FREE 1 hour family needs
assessment at: https://glenlochlegal.com/free-family-needs-assessment/

#glenlochlegal

#familyandbusinessplanning

#businessadvice

#communityorganizations

#winchesterva

#law",positive,negative
71,"Reason #7899654 why you need a doula! Our doulas will help you achieve the best birth outcome possible! 
•••••••••••••••
 #nonprofits #atlnonprofit #atlnonprofits #atlantanonprofit #atlantanonprofits #nonprofitorganization #nonprofitorganizations #communityorganization #blacknonprofit #communityorganizations #blacknonprofits  #nonprofitsofinstagram #nonprofitsrock #nonprofitlife  #nonprofitfundraising #doula #doulas #doulalife #blackdoula #blackdoulas #blackdoulasmatter #blackmamasmatter #blackatldoula #blackatldoulas #blackatlantadoula #blackatlantadoulas #atlantadoula #atlantadoulas #birthsupport",positive,negative
75,"What do these bills have in common?
The Freedom to Vote Act, the John R. Lewis Voting Rights Advancement Act, the Equality Act, background checks for gun sales, reauthorizing the Violence Against Women Act, the Protecting the Right to Organize Act, the Build Back Better Act...
All were passed by Democrats in the House of Representatives. ALL WERE BLOCKED BY THE #FILIBUSTER IN THE SENATE.
Our latest video highlights the 200+ bills that haven’t moved in the Senate thanks to the filibuster. WATCH NOW !
Don’t believe the media narrative that Congress is trapped in hopeless gridlock and both sides are to blame. One chamber of Congress, led by Democrats, is passing important legislation and delivering for the people.
BUT REPUBLICANS IN THE SENATE, AND A HANDFUL OF CORPORATE DEMOCRATS, ARE HELL-BENT ON GRINDING THE GEARS OF GOVERNMENT TO A HALT.
WHY ARE SENATE REPUBLICANS DOING THIS? BECAUSE THEIR MIDTERM STRATEGY DEPENDS ON IT.
#REPUBLICANS ARE BLOCKING CRUCIAL LEGISLATION SO THEY CAN POINT TO DEMOCRATS’ SUPPOSED INABILITY TO GET ANYTHING DONE, AND CLAIM THEY’LL BE ABLE TO DELIVER IF YOU GIVE THEM MAJORITIES.
Don’t fall for it.
Thanks for watching,
@rbreich",negative,positive
79,"<U+0001F7E5> <U+039A><U+03C5><U+03BA><U+03BB><U+03BF>f<U+03BF><U+03C1>e<U+03AF> t<U+03BF> <U+03BD><U+03AD><U+03BF> ß<U+03B9>ß<U+03BB><U+03AF><U+03BF> t<U+03B7><U+03C2> e<U+03BA>d<U+03BF>t<U+03B9><U+03BA><U+03AE><U+03C2> se<U+03B9><U+03C1><U+03AC><U+03C2> t<U+03BF><U+03C5> #<U+0395><U+039D><U+0391> «<U+0392>as<U+03B9><U+03BA><U+03AD><U+03C2> <U+0388><U+03BD><U+03BD><U+03BF><U+03B9>e<U+03C2>»

<U+0001F4D6> <U+03A4><U+03BF> 1821 <U+03C9><U+03C2> <U+0395>pa<U+03BD><U+03AC>stas<U+03B7>. G<U+03B9>at<U+03AF> <U+03BE><U+03AD>spase <U+03BA>a<U+03B9> <U+03B3><U+03B9>at<U+03AF> p<U+03AD>t<U+03C5><U+03C7>e | <U+03A4><U+03BF><U+03C5> <U+0394><U+03B7>µ<U+03AE>t<U+03C1><U+03B7> <U+03A0>apa<U+03BD><U+03B9><U+03BA><U+03BF><U+03BB><U+03CC>p<U+03BF><U+03C5><U+03BB><U+03BF><U+03C5>, <U+0394><U+03C1>. <U+03A0><U+03BF><U+03BB><U+03B9>t<U+03B9><U+03BA><U+03AE><U+03C2> <U+0395>p<U+03B9>st<U+03AE>µ<U+03B7><U+03C2> & e<U+03C1>e<U+03C5><U+03BD><U+03B7>t<U+03B7>

<U+03A0>e<U+03C1><U+03B9>ss<U+03CC>te<U+03C1>e<U+03C2> <U+03BB>ept<U+03BF>µ<U+03AD><U+03C1>e<U+03B9>e<U+03C2> <U+27A1><U+FE0F> www.enainstitute.org

#bookstagram #publications #history #socialmovements",neutral,negative
81,"<U+05D7><U+05D1><U+05E8> <U+05D4><U+05DB><U+05E0><U+05E1><U+05EA>, @ofer_cassif, <U+05DE><U+05D5><U+05DB><U+05D4>  <U+05DC><U+05D0><U+05D7><U+05E8> <U+05DC><U+05D9><U+05E0><U+05E5><U+05F3> <U+05E9><U+05E2><U+05D1><U+05E8> <U+05E2><U+05DC> <U+05D9><U+05D3><U+05D9> <U+05DE><U+05E9><U+05D8><U+05E8><U+05EA> <U+05D9><U+05E9><U+05E8><U+05D0><U+05DC>.
. 
@ofer_cassif 
@ajadurna 
@jointlist 
.
.
.
#documentaryphotography #photography #photograph #photojournalism #journalism #photojournalists #reportage #sony #coronavirus #corona #<U+0627><U+062C><U+0627>_<U+062F><U+0648><U+0631><U+0646><U+0627> #protest #hijab #streetphotography #journaling #arabic #arab #policebrutality #<U+05D4><U+05D1><U+05E2><U+05DC><U+05D9><U+05DD>_<U+05DC><U+05D0>_<U+05DE><U+05E8><U+05D5><U+05E6><U+05D9><U+05DD> #israel #protests #rebel #palestine #israelprotest #photo #streetphoto #revolution #protestors #police",neutral,negative
83,"Met with NATO Secretary General Jens #Stoltenberg today to address $Russia’s unprovoked and unjustified invasion of Ukraine. We discussed the unity and strength of the alliance, #NATO’s ongoing efforts to deter and defend against any aggression, and our support for #Ukraine. @potus 

#Russia #UkraineUnderAttack #UkraineRussia #president #vp #joebiden #StandWithUkriane #kamalaharris #nancypelosi #chuckschumer #filibuster #votevets #DNC",positive,negative
84,"Community partners. Community-minded. We take pride in being a part of these organizations that make Pope County and Arkansas a Legendary place to call home. Thank you all for your support and allowing us to be sponsors. #BeLegendary

@rsvlareachamber
@mainstreetrussellville
Dover Area Chamber of Commerce
Dardanelle Area Chamber of Commerce
@littlerockchamber
@conwaychamber",positive,neutral
85,"<U+0001F409> <U+0001F525> On this day Eight Black Panthers were arrested January 23, 2007 in California, New York, and Florida on charges related to the 1971 killing of a San Francisco police officer. Similar charges were thrown out after it was revealed that police used torture to extract confessions when some of these same men were arrested in New Orleans in 1973.

Richard Brown, Richard O'Neal, Ray Boudreaux, and Hank Jones were arrested in California. Francisco Torres was arrested in Queens, New York. Harold Taylor was arrested in Florida. Two men charged – Herman Bell and Jalil Muntaqim both did significant years in prison as New Afrikan political prisoners both have been released from prison. 

.
.
#sf8
#thesanfranciscoeight
#freethesf8 
#sanfrancisco 
#grassroots 
#grassrootsorganizing 
#grassrootsorganizations 
#grassrootsorganization 
#newafrikanindependencemovement 
#newafrikans
#newafrikanguerrillas 
#georgejacksongrassrootsmovement
#georgejackson 
#georgejacksonquotes 
#georgejacksonuniversity 
#georgejacksonradio 
#newafrikanpoliticalprisoners 
#freeallpoliticalprisoners 
#politicalprisonersofwar
#communityorganizations 
#communityorganizing 
#communityorganizer 
#soledadbrothers 
#transformingthecriminalmindintoarevolutionarymind 
#turningcagesintouniversities 
#viralpage
#viralpages
#viralpost 
#viralpost
#onthisdayinhistory 
#onthisday",negative,neutral
